,,2C19-60,3A4-60
,A,20669,15368
,I,25079,25815
,A,20669,15368
,I,25079,25815
,auc,0.615663355732869,0.741480738782717
,train size,13489,13119
,test size,4680,4558
RF,cv,[0.75568599 0.67608217 0.70286134 0.76770642 0.81174312],[0.88547405 0.91098869 0.8947521  0.7961728  0.87093968]
,test score,0.782692307692308,0.824045634050022
,sens,0.768539325842697,0.793842770753161
,specificity,0.791379310344828,0.844103687477181
,auc,0.854975397132894,0.898486143083002
,mcc,0.550460616602034,0.635076246555336
KNN,cv,[0.66434336 0.65884079 0.60931768 0.6906422  0.73321101],[0.76195999 0.81559872 0.76891853 0.69730357 0.76044084]
,test score,0.782692307692308,0.824045634050022
,score,0.683760683760684,0.735190873189996
,sens,0.68876404494382,0.887300714678395
,specificity,0.680689655172414,0.634173055859803
,auc,0.724873886090663,0.844700005479462
,mcc,0.359881359338903,0.516417976812611
LR,cv,[0.68488628 0.64783566 0.68231842 0.72330275 0.76623853],[0.74398376 0.79994201 0.7509423  0.69672369 0.78132251]
,test score,0.782692307692308,0.824045634050022
,score,0.745726495726496,0.768100043878894
,sens,0.735393258426966,0.777899945024739
,specificity,0.752068965517241,0.761591821832786
,auc,0.817514722975591,0.848707840507916
,mcc,0.477561415124594,0.53066720131476
DNN,cv,[0.68488628 0.64783566 0.68231842 0.72330275 0.76623853],[0.74398376 0.79994201 0.7509423  0.69672369 0.78132251]
,test score,0.782692307692308,0.824045634050022
,score,0.735042750835419,0.766564309597015
,sens,0.460112359550562,0.875206157229247
,specificity,0.903793103448276,0.694414019715225
,auc,0.806300658659434,0.873002128961646
,mcc,0.416901650621597,0.559108560662013
GB,cv,[0.75935437 0.67388114 0.7190022  0.7706422  0.82165138],[0.85590026 0.89736155 0.88431429 0.8109597  0.88718097]
,test score,0.782692307692308,0.824045634050022
,score,0.783547008547009,0.832382623957876
,sens,0.754494382022472,0.759758108851017
,specificity,0.801379310344828,0.880613362541073
,auc,0.849836303758233,0.908185493234872
,mcc,0.548674062487704,0.647779329271222
XGB,cv,[0.76192223 0.67094644 0.69002201 0.74715596 0.80990826],[0.85329081 0.88431429 0.88344448 0.78834445 0.86803944]
,test score,0.782692307692308,0.824045634050022
,score,0.766239316239316,0.834795963141729
,sens,0.760112359550562,0.812534359538208
,specificity,0.77,0.849580138736765
,auc,0.847405656722201,0.902793341389949
,mcc,0.519589572760361,0.658145094546851
